component	status	pages_in_cumulative	standalone_files	note
SGA 1	complete/integrated	6-292	01	Complete Spanish reader
SGA 2	complete/integrated	293-501	02	Complete Spanish reader including final indexes
SGA 3, Tome I	complete/integrated	502-1193	in cumulative 00/05/06/07	Original mathematical corpus C005-C616; Exposés I-VII_B; index
SGA 3, Tome II	complete/integrated	1194-1603	29,30,31,32,33	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 3, Tome III	complete/integrated	1604-2077	in cumulative 00/05/06/07	Front matter; Exposés XIX-XXVI; terminal indices
SGA 4, Tome I	complete/integrated	2078-2379	24,25,26,27,28	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 4, Tome II	complete/integrated	2380-2561	20,21,22,23	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 4, Tome III	complete/integrated	2562-2936	16,17,18,19	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 4½	complete/integrated	2937-3134	SGA4HALF_*	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 5	complete/integrated	3135-3460	03,03B	Current branch in cumulative; diplomatic branch separate
SGA 6	complete/integrated	3461-3837	04	Complete Spanish reader
SGA 7, Tome I	complete/integrated	3838-4172	08,09,10,11	Current branch in cumulative; diplomatic branch and source/evidence separate
SGA 7, Tome II	complete/integrated	4173-4450	12,13,14,15	Current branch in cumulative; diplomatic branch and source/evidence separate
